num,objID,flag,conf,Anomaly Score,RA,Dec,u_b_exp
37237,1237680314451952097,0,0.616,0.010337691754102707,28.285396,29.87035,22.7633219435756
37238,1237680314453328549,0,0.8085,0.03876990079879761,31.911756,29.030538,22.600201562134064
37239,1237680314453393769,0,0.949,0.06583108007907867,32.101049,29.045656,22.197964930540532
37240,1237680314453852655,0,0.9368,0.05083182454109192,33.153547,28.84261,22.229626504273668
37241,1237680314453918024,0,0.8258,0.05049286037683487,33.393775,28.75508,21.86498277256386
37242,1237680314454114637,0,0.9158,0.051803141832351685,33.836946,28.545191,21.502292732578045
37243,1237680314454245549,0,0.883,0.32147908210754395,34.112038,28.628026,21.40907801069213
37244,1237680314454376886,0,0.5053,0.02095821499824524,34.412943,28.445571,22.550081536471904
37245,1237680478197907839,0,0.9117,0.07821126282215118,12.660587,32.105854,
37246,1237680478198104281,0,0.9471,0.12884646654129028,13.165243,32.21389,19.339912621351125
37247,1237680314984759696,0,0.6346,0.02084108628332615,17.661042,31.731561,22.23718347693444
37248,1237680314984825255,0,0.9376,0.058500200510025024,17.860279,31.832181,22.155469369121587
37249,1237666216224948577,0,0.9142,0.06870561838150024,18.907548,31.65588,
37250,1237680314985480568,0,0.877,0.04711597412824631,19.601695,31.445437,22.41779280061217
37252,1237680314987643614,0,0.5977,0.11510352790355682,25.415394,30.680351,21.69321569718793
37253,1237680314987708683,0,0.9235,0.03354063630104065,25.608959,30.795042,21.70961936208021
37254,1237680314988036438,0,0.9589,0.05726844444870949,26.412161,30.556008,22.526425891890213
37255,1237680314990526507,0,0.8854,0.18352831900119781,32.77685,29.367081,21.668201259703352
37256,1237680314991182011,0,0.8455,0.03638187050819397,34.352843,28.863978,22.33514024184217
37257,1237680478734909606,0,0.5613,0.16114625334739685,12.955986,32.615955,21.278247640720778
37258,1237680478735041078,0,0.9111,0.03838873654603958,13.313994,32.543895,22.56454733649704
37259,1237680478734975751,0,0.8527,0.02212367206811905,13.202516,32.457931,22.53593927522472
37260,1237680478735040774,0,0.9339,0.1906745433807373,13.339414,32.638071,21.886842713405475
37261,1237680478735892852,0,0.6366,0.053260527551174164,15.734109,32.390821,21.933284155367147
37262,1237680315521303198,0,0.89,0.03158532828092575,16.948705,32.221389,22.700265148824876
37263,1237680315521827381,0,0.6954,0.05851127952337265,18.251386,32.019279,22.06050023908425
37264,1237680315522875871,0,0.821,0.10722978413105011,21.081953,31.70155,22.65418129017697
37265,1237666213540725137,0,0.5015,0.21962067484855652,21.372622,31.665308,20.856207369485794
37266,1237680315523661993,0,0.9394,0.24160750210285187,23.138634,31.457944,22.400092156542744
37267,1237680315524645205,0,0.7772,0.04439256340265274,25.745301,31.210762,22.190640564129755
37268,1237680315525824685,0,0.9304,0.22101643681526184,28.821659,30.45664,21.704828219925115
